Account Number,Reporting Period,Origination Date,Credit Limit,Outstanding Balance,CLTV Ratio,Interest Rate,Delinquency Status,Property State,Credit Score,Loan Type,DTI Ratio,Loan Modification,Charge-Off Status
200106,2025-02,2021-06-28,229042,88423,99.47,6.7,Current,GA,739,HELOC,35.05,No,No
200107,2025-02,2023-07-14,208199,196100,93.72,6.0,Current,IL,674,Fixed,45.72,No,No
200108,2025-02,2019-09-11,160538,20860,82.93,8.08,Current,CA,644,HELOC,19.82,No,No
200109,2025-02,2019-08-30,51887,107490,56.43,6.58,90+ Days,GA,573,Fixed,49.9,No,No
200110,2025-02,2022-08-03,92732,40283,94.18,8.4,Current,NY,817,Fixed,44.26,No,No
200111,2025-02,2022-02-27,181199,111070,53.44,8.18,30 Days,GA,759,HELOC,35.02,No,No
200112,2025-02,2015-02-24,98790,53254,55.65,5.41,Current,FL,515,Fixed,15.31,No,No
200113,2025-02,2020-05-29,178950,72329,86.29,6.71,30 Days,CA,839,HELOC,48.88,No,Yes
200114,2025-02,2016-02-26,110673,129497,95.57,4.09,Current,IL,691,Fixed,23.66,Yes,No
200115,2025-02,2022-12-31,21502,13133,90.8,5.32,Current,FL,561,Fixed,23.7,No,No
200116,2025-02,2018-04-01,201351,158439,94.06,6.21,Current,IL,567,HELOC,18.47,No,No
200117,2025-02,2017-09-08,39744,71348,94.03,5.55,Current,NY,644,HELOC,52.33,No,No
200118,2025-02,2021-07-24,69593,154730,51.04,7.0,Current,WA,602,Fixed,16.59,No,No
200119,2025-02,2020-10-29,88879,106261,74.92,6.57,Current,CA,610,HELOC,46.71,No,No
200120,2025-02,2016-12-28,197817,165714,70.32,3.55,Current,IL,782,HELOC,49.8,No,No
200121,2025-02,2015-11-13,200963,185047,69.56,6.05,Current,WA,538,HELOC,43.51,No,No
200122,2025-02,2021-10-22,236655,104468,93.21,8.04,Current,NY,624,HELOC,18.68,No,No
200123,2025-02,2020-09-21,43159,15774,94.09,6.56,Current,GA,744,Fixed,21.27,No,No
200124,2025-02,2019-07-24,91735,122881,62.46,3.55,Current,NY,655,HELOC,33.25,No,No
200125,2025-02,2020-03-01,182354,54982,83.19,8.68,Current,TX,669,HELOC,48.34,No,No
200126,2025-02,2016-04-17,167211,150584,53.3,6.6,Current,GA,726,HELOC,25.14,No,No
200127,2025-02,2018-09-24,239031,25721,88.25,3.18,Current,FL,669,HELOC,39.67,No,No
200128,2025-02,2020-02-08,188469,48327,84.8,3.47,30 Days,GA,768,Fixed,21.71,No,No
200129,2025-02,2017-08-27,228713,139699,57.55,5.21,Current,GA,772,Fixed,47.67,No,No
200130,2025-02,2022-09-04,159164,54244,77.55,5.82,Current,FL,637,Fixed,50.31,No,No
200131,2025-02,2018-06-10,209728,172482,96.54,3.61,Current,CA,507,Fixed,29.2,No,Yes
200132,2025-02,2015-11-12,143811,36802,56.43,4.13,Current,IL,749,HELOC,16.77,No,No
200133,2025-02,2015-09-07,162036,9816,95.12,7.74,Current,WA,710,Fixed,43.51,No,No
200134,2025-02,2020-01-08,52779,73690,66.51,4.29,Current,NY,658,HELOC,51.7,No,No
200135,2025-02,2016-08-02,99691,152907,51.26,6.8,Current,TX,707,Fixed,33.32,No,No
200136,2025-02,2021-09-05,245270,165519,54.01,8.4,Current,NY,840,HELOC,38.7,No,No
200137,2025-02,2022-10-15,108604,104599,58.85,8.92,30 Days,TX,628,Fixed,15.11,No,No
200138,2025-02,2023-03-19,92416,66785,58.89,6.26,Current,GA,754,Fixed,48.5,No,No
200139,2025-02,2019-11-24,104296,31202,75.15,7.61,90+ Days,CA,592,HELOC,16.8,No,No
200140,2025-02,2019-12-14,29169,130304,60.61,3.25,Current,IL,701,Fixed,48.28,No,No
200141,2025-02,2016-08-08,184312,155186,98.73,5.4,30 Days,NY,832,HELOC,18.36,No,No
200142,2025-02,2022-12-04,84709,183382,58.76,3.4,30 Days,FL,846,HELOC,33.1,No,No
200143,2025-02,2015-10-03,79876,126459,93.96,6.52,Current,WA,669,HELOC,18.9,No,No
200144,2025-02,2017-05-21,15008,14587,67.24,8.82,Current,IL,521,Fixed,39.62,No,No
200145,2025-02,2021-12-14,84373,185557,52.58,3.9,Current,IL,722,Fixed,45.24,No,No
200146,2025-02,2015-03-31,77189,160813,98.41,3.25,Current,IL,725,HELOC,51.85,No,No
200147,2025-02,2022-01-27,148759,174084,63.12,8.7,Current,NY,744,Fixed,47.3,No,No
200148,2025-02,2018-12-23,105658,21035,63.03,7.49,Current,TX,585,HELOC,32.75,No,No
200149,2025-02,2016-08-07,83754,95158,80.78,7.51,Current,NY,670,Fixed,43.52,No,No
200150,2025-02,2023-05-30,74580,89925,57.02,8.67,Current,TX,603,HELOC,44.57,No,No
200151,2025-02,2022-02-21,68388,75129,96.64,3.48,Current,GA,810,Fixed,41.82,No,No
200152,2025-02,2023-06-22,37030,29110,97.67,4.26,Current,NY,821,Fixed,53.92,No,No
200153,2025-02,2022-05-31,46997,35113,82.85,7.4,Current,NY,651,Fixed,21.45,No,No
200154,2025-02,2023-10-16,170565,119323,57.92,8.78,Current,TX,626,Fixed,18.79,No,No
200155,2025-02,2016-11-21,26147,130234,78.77,5.13,Current,IL,758,Fixed,36.57,No,No
200156,2025-02,2022-10-12,229521,50382,59.48,4.33,Current,CA,675,Fixed,41.06,No,No
200157,2025-02,2016-05-23,248615,143453,93.33,4.86,Current,CA,511,HELOC,21.76,No,No
200158,2025-02,2022-11-18,138708,21707,75.68,8.92,Current,TX,751,HELOC,38.09,No,No
200159,2025-02,2023-09-22,223836,143336,91.34,4.71,Current,IL,747,HELOC,47.32,No,No
200160,2025-02,2018-03-16,204954,92802,93.64,4.39,Current,TX,607,HELOC,34.4,No,No
200161,2025-02,2019-11-28,129183,35145,54.06,3.88,Current,GA,832,Fixed,40.72,No,No
200162,2025-02,2015-08-02,179849,98198,67.67,5.09,30 Days,FL,682,HELOC,27.57,No,No
200163,2025-02,2016-08-05,67504,26665,61.7,6.29,Current,TX,711,HELOC,42.24,No,No
200164,2025-02,2021-03-20,142016,124029,92.8,8.5,Current,WA,769,HELOC,18.71,No,No
200165,2025-02,2021-08-06,59366,112446,97.17,5.6,Current,WA,692,HELOC,39.91,No,No
200166,2025-02,2021-03-02,223979,22213,64.91,8.98,Current,TX,567,HELOC,36.47,No,No
200167,2025-02,2019-01-11,112454,100961,79.6,7.73,Current,CA,626,Fixed,29.19,No,No
200168,2025-02,2016-07-31,178347,186931,78.57,4.34,Current,IL,780,Fixed,51.21,No,No
200169,2025-02,2018-07-05,115082,120608,70.47,5.83,Current,CA,715,HELOC,34.88,No,No
200170,2025-02,2022-02-04,210894,22159,91.45,5.09,Current,WA,740,HELOC,39.38,Yes,No
200171,2025-02,2017-06-08,81787,162364,63.04,4.81,Current,TX,821,HELOC,43.96,No,No
200172,2025-02,2018-11-14,36465,168888,85.27,8.49,Current,WA,595,HELOC,52.79,No,No
200173,2025-02,2021-08-18,89906,92950,53.11,8.89,Current,CA,521,Fixed,42.58,No,No
200174,2025-02,2015-12-15,156986,37044,89.93,3.56,Current,TX,652,HELOC,54.06,No,Yes
200175,2025-02,2015-04-24,176234,175051,50.53,8.97,Current,IL,600,Fixed,38.26,No,No
200176,2025-02,2018-05-09,124667,161417,85.24,8.1,Current,WA,552,HELOC,48.41,No,No
200177,2025-02,2021-03-19,17196,167530,80.13,8.56,Current,CA,539,Fixed,38.62,No,No
200178,2025-02,2015-01-10,124764,99325,58.38,6.1,60 Days,GA,518,Fixed,31.61,No,No
200179,2025-02,2022-03-17,40503,75022,52.49,8.11,Current,IL,684,Fixed,17.61,No,No
200180,2025-02,2022-11-19,139695,153531,91.38,3.34,Current,CA,741,HELOC,33.86,No,No
200181,2025-02,2020-12-18,152111,102709,72.86,5.75,Current,CA,552,Fixed,38.64,No,No
200182,2025-02,2023-01-09,221269,20672,84.41,4.55,Current,WA,586,HELOC,49.1,Yes,No
200183,2025-02,2023-12-25,148666,5292,82.46,6.08,Current,CA,711,HELOC,42.42,No,No
200184,2025-02,2018-03-10,247633,81843,70.27,8.78,Current,TX,621,Fixed,34.9,No,No
200185,2025-02,2022-09-05,195506,117741,71.8,5.13,60 Days,GA,822,Fixed,30.39,No,No
200186,2025-02,2018-05-16,83262,155539,88.84,4.01,Current,WA,732,HELOC,29.77,No,No
200187,2025-02,2022-01-22,103581,166099,87.68,6.53,Current,TX,715,Fixed,46.23,No,No
200188,2025-02,2017-02-07,69691,60192,51.26,7.2,Current,WA,527,Fixed,29.96,No,No
200189,2025-02,2021-02-12,130146,98381,93.15,8.29,Current,FL,639,HELOC,16.77,No,No
200190,2025-02,2021-10-01,249644,85148,77.48,3.86,Current,IL,516,HELOC,43.96,No,No
200191,2025-02,2018-09-12,45742,160244,58.72,4.64,30 Days,IL,760,HELOC,42.26,No,No
200192,2025-02,2023-02-10,194479,192981,70.02,7.71,Current,TX,653,HELOC,41.91,No,No
200193,2025-02,2017-12-23,20003,81909,98.31,7.82,Current,TX,785,Fixed,21.53,No,No
200194,2025-02,2023-03-10,176380,39570,58.29,4.27,Current,WA,717,HELOC,16.97,No,No
200195,2025-02,2021-03-09,49082,80203,71.97,8.46,90+ Days,GA,749,Fixed,26.15,No,No
200196,2025-02,2023-09-09,228343,107305,60.44,3.73,Current,CA,602,Fixed,15.48,No,No
200197,2025-02,2015-04-14,245833,92988,99.9,6.7,Current,GA,748,Fixed,20.6,No,No
200198,2025-02,2019-06-24,163877,180556,83.59,3.45,Current,CA,600,Fixed,38.62,No,No
200199,2025-02,2015-05-21,190126,116078,69.06,6.24,Current,TX,577,Fixed,21.51,No,No
200200,2025-02,2020-11-13,153120,11956,91.43,5.37,60 Days,FL,820,HELOC,16.53,No,No
200201,2025-02,2023-02-04,115205,88309,55.43,3.16,Current,CA,555,Fixed,40.21,No,No
200202,2025-02,2017-01-28,159980,31939,73.25,3.52,Current,IL,654,HELOC,24.08,No,No
200203,2025-02,2016-06-25,211706,138461,62.95,7.65,Current,TX,789,Fixed,39.73,No,No
200204,2025-02,2020-12-29,249612,115833,81.42,7.98,Current,GA,701,Fixed,19.56,No,No
200205,2025-02,2016-03-15,233423,77981,82.58,5.1,Current,NY,564,Fixed,19.43,No,No
200206,2025-02,2023-11-29,120916,123749,90.94,8.97,Current,GA,720,Fixed,50.98,No,No
200207,2025-02,2016-03-18,35688,111838,74.93,5.2,Current,CA,762,Fixed,19.42,No,No
200208,2025-02,2021-08-02,125463,12043,82.95,3.08,Current,IL,807,HELOC,40.1,No,No
200209,2025-02,2018-09-02,92290,95303,54.89,4.45,Current,FL,799,Fixed,29.54,No,No
200210,2025-02,2015-02-15,213493,173061,78.63,3.21,Current,CA,603,HELOC,45.95,No,No
200211,2025-02,2015-04-19,79699,65650,78.85,8.43,Current,IL,612,HELOC,32.61,Yes,No
200212,2025-02,2020-05-09,228187,137559,55.5,4.59,Current,WA,733,Fixed,26.37,No,No
200213,2025-02,2016-02-16,31465,107777,63.42,4.32,Current,WA,574,Fixed,35.51,No,No
200214,2025-02,2019-01-21,160166,120116,85.07,3.35,Current,TX,665,HELOC,29.03,No,No
200215,2025-02,2018-06-07,201542,198420,69.96,3.31,Current,FL,552,HELOC,30.71,No,No
200216,2025-02,2015-02-03,128211,45715,73.14,4.2,Current,WA,743,HELOC,15.25,No,No
200217,2025-02,2018-05-20,215317,70372,87.79,8.13,Current,FL,736,HELOC,37.74,No,No
200218,2025-02,2016-03-09,73818,28560,51.57,3.43,Current,WA,678,Fixed,48.93,No,No
200219,2025-02,2018-05-05,221502,129733,62.66,3.91,Current,NY,640,Fixed,53.7,No,No
200220,2025-02,2020-06-08,193631,107309,61.1,8.72,Current,GA,691,Fixed,16.38,No,No
200221,2025-02,2020-09-06,21312,183428,54.76,3.75,Current,NY,729,HELOC,38.7,No,No
200222,2025-02,2019-08-23,186156,23698,67.54,8.26,Current,FL,620,Fixed,36.89,No,No
200223,2025-02,2021-10-22,205162,167744,87.11,4.34,30 Days,TX,532,HELOC,50.43,No,No
200224,2025-02,2022-01-17,96192,11242,51.57,7.72,Current,TX,706,HELOC,38.75,No,No
200225,2025-02,2018-10-14,241294,101825,72.88,4.79,Current,NY,612,HELOC,51.2,No,No
200226,2025-02,2023-08-27,154899,81426,65.73,4.47,Current,IL,518,Fixed,50.44,No,No
200227,2025-02,2018-06-01,22262,188222,94.13,4.61,Current,WA,827,HELOC,52.66,No,No
200228,2025-02,2019-07-05,163409,149759,53.18,8.58,30 Days,GA,803,HELOC,47.93,No,No
200229,2025-02,2015-10-28,172488,163715,93.85,4.2,Current,IL,623,HELOC,28.84,No,No
200230,2025-02,2021-06-17,211480,143341,99.8,7.59,Current,FL,656,Fixed,20.27,No,No
200231,2025-02,2023-02-17,172856,116535,53.91,6.05,Current,NY,541,HELOC,30.9,No,No
200232,2025-02,2023-03-13,24147,152406,70.9,8.82,Current,GA,671,HELOC,32.98,No,No
200233,2025-02,2015-05-24,127315,26126,65.34,4.32,Current,NY,664,HELOC,30.0,No,No
200234,2025-02,2018-02-05,165618,7357,83.38,4.97,Current,CA,690,Fixed,26.61,No,No
200235,2025-02,2017-04-08,21770,59070,73.41,4.37,Current,IL,529,HELOC,45.7,Yes,No
200236,2025-02,2018-11-09,38744,143750,51.21,8.55,Current,IL,609,Fixed,24.02,No,No
200237,2025-02,2017-11-08,183008,155185,57.99,8.81,60 Days,CA,521,Fixed,28.89,No,No
200238,2025-02,2023-12-22,67952,14576,88.19,6.02,Current,NY,517,HELOC,24.11,No,No
200239,2025-02,2023-07-13,228656,62784,50.34,6.98,Current,WA,543,Fixed,24.84,No,No
200240,2025-02,2017-10-17,21448,18688,91.34,6.2,60 Days,IL,527,HELOC,42.75,No,No
200241,2025-02,2015-06-18,170194,188375,54.89,5.08,Current,CA,722,HELOC,44.31,No,No
200242,2025-02,2017-06-17,219428,111937,67.55,6.44,Current,NY,754,Fixed,46.22,No,No
200243,2025-02,2018-07-03,140011,18157,55.29,6.36,Current,IL,819,HELOC,32.85,No,No
200244,2025-02,2023-10-02,101457,26262,92.67,3.97,Current,NY,656,Fixed,42.18,Yes,No
200245,2025-02,2019-01-31,141077,85467,97.05,7.53,Current,IL,565,HELOC,21.07,No,No
200246,2025-02,2019-02-21,109232,160313,85.01,8.78,Current,IL,761,HELOC,27.62,No,Yes
200247,2025-02,2023-01-14,13544,137401,84.23,6.69,60 Days,NY,843,Fixed,35.56,No,No
200248,2025-02,2019-07-30,166363,17799,60.81,8.75,60 Days,NY,719,Fixed,40.66,No,No
200249,2025-02,2015-05-08,144766,94036,66.86,5.18,Current,NY,782,HELOC,16.25,No,No
200250,2025-02,2021-10-11,16442,66681,93.59,7.75,Current,IL,506,HELOC,20.28,No,No
200251,2025-02,2016-08-12,92828,15766,58.84,4.46,Current,TX,811,HELOC,54.18,No,No
200252,2025-02,2018-01-23,45073,191216,75.17,4.86,Current,WA,606,HELOC,30.93,No,No
200253,2025-02,2016-03-01,121572,173940,95.06,4.51,Current,GA,694,HELOC,34.06,No,No
200254,2025-02,2018-07-08,236475,198108,78.61,6.94,30 Days,GA,778,Fixed,26.51,No,No
200255,2025-02,2015-05-02,210211,173357,60.37,6.95,Current,TX,508,HELOC,32.65,No,No
200256,2025-02,2020-05-02,97472,147226,79.94,5.58,Current,CA,690,Fixed,46.51,Yes,No
200257,2025-02,2021-07-23,10978,53004,63.83,3.94,Current,FL,621,HELOC,39.83,No,No
200258,2025-02,2018-08-19,75520,134437,72.24,4.86,30 Days,TX,628,HELOC,36.43,No,No
200259,2025-02,2019-12-10,15568,33683,78.53,6.62,Current,WA,707,HELOC,48.12,No,No
200260,2025-02,2020-02-12,165072,152797,99.93,7.83,Current,NY,664,Fixed,20.62,Yes,No
200261,2025-02,2016-08-23,202789,53492,91.32,3.75,Current,WA,797,HELOC,40.13,No,No
200262,2025-02,2021-11-24,222018,39532,61.88,8.82,Current,GA,827,Fixed,33.02,No,No
200263,2025-02,2023-04-02,121182,29674,76.62,3.74,Current,FL,681,Fixed,26.0,No,No
200264,2025-02,2018-01-19,187432,10158,74.01,3.44,Current,NY,833,HELOC,32.73,No,No
200265,2025-02,2019-10-06,144040,100007,55.7,3.01,Current,FL,713,Fixed,29.68,No,No
200266,2025-02,2022-07-05,84385,133171,86.96,3.79,30 Days,FL,574,HELOC,15.22,No,No
200267,2025-02,2019-05-06,171575,131283,88.8,8.52,Current,IL,754,HELOC,17.3,No,No
200268,2025-02,2020-02-21,90169,120272,67.68,5.97,30 Days,TX,603,Fixed,54.1,No,No
200269,2025-02,2016-05-14,197947,28992,51.46,3.09,Current,CA,547,Fixed,42.09,No,No
200270,2025-02,2017-04-27,242098,191600,72.57,6.22,Current,GA,648,Fixed,45.84,No,No
200271,2025-02,2022-12-26,29370,82568,54.09,5.84,Current,GA,669,HELOC,27.01,No,No
200272,2025-02,2023-07-23,88502,127389,67.11,4.24,Current,FL,540,HELOC,22.1,No,No
