Account Number,Reporting Period,Origination Date,Loan Amount,LTV Ratio,Interest Rate,Delinquency Status,Property State,Credit Score,Loan Purpose,DTI Ratio,Loan Modification,Charge-Off Status
100071,2025-02,2015-11-11,153465,62.81,6.46,Current,WA,673,Cash-Out Refinance,40.23,No,No
100072,2025-02,2020-10-19,267775,51.8,4.08,Current,TX,737,Purchase,15.27,No,No
100073,2025-02,2020-11-10,320563,94.3,2.64,Current,NY,738,Cash-Out Refinance,40.68,No,No
100074,2025-02,2021-10-09,439248,92.46,8.05,Current,WA,546,Refinance,30.28,No,No
100075,2025-02,2021-05-15,587568,55.55,6.32,60 Days,NY,656,Purchase,32.72,No,No
100076,2025-02,2018-11-06,704269,74.95,4.73,Current,IL,807,Refinance,25.07,No,No
100077,2025-02,2015-02-04,337098,90.71,7.78,30 Days,IL,539,Cash-Out Refinance,15.56,No,No
100078,2025-02,2015-08-10,771907,62.73,5.78,Current,IL,708,Cash-Out Refinance,41.46,No,No
100079,2025-02,2015-06-11,624204,89.78,4.02,Current,FL,597,Refinance,21.07,No,No
100080,2025-02,2023-12-07,247768,53.3,3.79,Current,WA,562,Purchase,33.03,No,No
100081,2025-02,2015-09-15,872418,83.78,5.74,30 Days,FL,536,Purchase,30.7,No,No
100082,2025-02,2015-06-25,332551,97.87,4.36,Current,IL,847,Refinance,49.49,No,No
100083,2025-02,2023-01-18,72871,78.03,8.02,Current,WA,649,Purchase,34.11,No,No
100084,2025-02,2020-09-12,603315,63.42,6.23,Current,WA,790,Purchase,47.93,No,No
100085,2025-02,2021-07-24,809082,78.15,5.7,60 Days,WA,581,Refinance,33.99,No,No
100086,2025-02,2020-11-15,752226,73.09,4.83,Current,WA,773,Cash-Out Refinance,46.16,No,No
100087,2025-02,2020-02-16,878650,83.99,6.92,Current,GA,616,Purchase,13.46,No,No
100088,2025-02,2021-06-27,892395,93.68,5.53,Current,FL,849,Refinance,36.61,No,No
100089,2025-02,2021-06-08,515919,80.9,7.78,Current,CA,677,Purchase,20.11,No,Yes
100090,2025-02,2021-04-19,265855,66.48,3.82,Current,FL,660,Cash-Out Refinance,44.98,No,No
100091,2025-02,2023-06-04,94627,77.63,7.98,Current,IL,839,Purchase,46.22,No,No
100092,2025-02,2020-04-05,193271,74.79,4.14,Current,TX,684,Cash-Out Refinance,42.96,No,No
100093,2025-02,2020-04-18,952599,75.63,6.24,Current,NY,564,Cash-Out Refinance,18.54,No,No
100094,2025-02,2017-04-04,670053,59.13,3.64,Current,CA,812,Purchase,47.68,No,No
100095,2025-02,2018-07-13,814445,75.48,6.48,Current,CA,637,Purchase,20.61,Yes,No
100096,2025-02,2023-09-18,446388,76.54,5.56,30 Days,NY,626,Cash-Out Refinance,21.35,No,No
100097,2025-02,2015-11-27,436064,54.44,2.7,Current,WA,532,Cash-Out Refinance,13.21,No,No
100098,2025-02,2023-02-25,96574,68.53,4.22,60 Days,WA,829,Purchase,35.05,No,No
100099,2025-02,2017-03-01,510842,61.57,3.26,Current,WA,733,Purchase,20.44,No,No
100100,2025-02,2022-07-25,661491,80.33,4.17,Current,CA,527,Refinance,40.21,No,No
100101,2025-02,2022-05-23,831354,75.85,3.0,Current,FL,558,Cash-Out Refinance,24.66,No,Yes
100102,2025-02,2018-03-10,136450,63.88,8.01,Current,TX,788,Refinance,12.71,No,No
100103,2025-02,2021-11-11,777669,61.24,6.09,Current,IL,600,Cash-Out Refinance,30.23,No,No
100104,2025-02,2017-03-17,966049,55.31,2.8,Current,CA,631,Purchase,22.81,No,No
100105,2025-02,2022-03-23,366807,73.67,6.35,30 Days,WA,580,Purchase,21.5,No,No
100106,2025-02,2017-05-11,66358,52.07,4.56,Current,GA,501,Refinance,28.04,No,No
100107,2025-02,2020-03-04,359805,89.86,5.12,Current,IL,678,Purchase,11.5,No,No
100108,2025-02,2022-11-27,261206,59.95,3.32,Current,TX,536,Purchase,43.39,No,No
100109,2025-02,2021-08-20,108734,66.79,2.94,30 Days,TX,707,Cash-Out Refinance,13.58,No,No
100110,2025-02,2022-04-24,111115,91.94,3.12,Current,IL,820,Refinance,15.97,No,No
100111,2025-02,2015-04-24,182196,73.5,6.2,30 Days,CA,624,Purchase,28.22,No,No
100112,2025-02,2017-03-13,946496,72.17,7.31,Current,IL,610,Refinance,42.49,No,No
100113,2025-02,2020-01-15,519962,93.31,6.87,Current,IL,842,Cash-Out Refinance,40.25,No,No
100114,2025-02,2016-08-14,388326,60.07,6.46,Current,WA,761,Cash-Out Refinance,21.73,No,No
100115,2025-02,2018-04-12,420946,80.37,5.28,30 Days,TX,668,Cash-Out Refinance,10.5,No,No
100116,2025-02,2020-08-30,704856,65.35,5.06,Current,GA,560,Cash-Out Refinance,34.76,No,No
100117,2025-02,2016-12-15,863864,76.5,3.78,Current,GA,511,Cash-Out Refinance,44.42,No,No
100118,2025-02,2016-06-01,598468,89.33,8.43,Current,NY,585,Refinance,47.14,No,No
100119,2025-02,2018-09-13,779870,80.59,5.92,Current,WA,713,Cash-Out Refinance,39.52,No,No
100120,2025-02,2023-04-26,164064,50.3,6.28,Current,GA,572,Purchase,25.3,No,No
100121,2025-02,2021-04-17,786715,98.06,4.49,Current,IL,648,Purchase,31.44,No,No
100122,2025-02,2020-08-30,234367,97.48,4.23,Current,FL,729,Purchase,37.3,No,No
100123,2025-02,2022-01-03,179434,58.25,8.43,Current,WA,526,Cash-Out Refinance,19.02,No,No
100124,2025-02,2018-06-08,285559,93.51,5.63,Current,IL,623,Refinance,38.39,No,No
100125,2025-02,2015-02-14,408141,65.01,8.18,Current,NY,812,Refinance,22.87,No,No
100126,2025-02,2022-12-03,783556,51.38,7.63,Current,GA,681,Cash-Out Refinance,32.22,No,No
100127,2025-02,2016-11-18,200294,72.36,3.33,30 Days,FL,553,Cash-Out Refinance,12.59,No,No
100128,2025-02,2017-02-10,97665,68.24,6.72,Current,FL,513,Refinance,45.64,No,No
100129,2025-02,2021-10-17,878620,67.65,4.06,Current,IL,564,Refinance,40.65,No,No
100130,2025-02,2015-12-28,81468,78.11,3.53,Current,CA,528,Cash-Out Refinance,38.68,No,No
100131,2025-02,2019-06-04,733727,78.43,7.63,Current,IL,516,Purchase,24.3,No,No
100132,2025-02,2017-02-08,718276,73.93,4.14,90+ Days,NY,733,Refinance,34.59,No,No
100133,2025-02,2015-07-29,851838,90.06,6.74,Current,IL,808,Purchase,17.1,No,No
100134,2025-02,2020-04-07,799645,83.87,8.03,Current,CA,657,Cash-Out Refinance,18.35,No,No
100135,2025-02,2016-10-23,783490,55.2,4.63,Current,GA,823,Cash-Out Refinance,44.07,No,No
100136,2025-02,2022-03-26,449439,96.01,7.75,Current,IL,701,Refinance,40.05,No,No
100137,2025-02,2023-10-17,591104,95.67,3.01,Current,FL,707,Purchase,21.35,No,No
100138,2025-02,2016-07-21,528842,67.61,6.78,30 Days,CA,744,Refinance,13.82,No,No
100139,2025-02,2020-05-23,181687,67.68,5.92,90+ Days,FL,621,Purchase,36.52,No,No
100140,2025-02,2022-04-23,779752,54.79,3.01,Current,IL,594,Purchase,47.31,No,No
100141,2025-02,2023-03-04,781651,73.06,6.55,Current,IL,719,Purchase,29.11,No,No
100142,2025-02,2019-09-01,417482,50.22,4.65,Current,IL,735,Cash-Out Refinance,18.5,No,No
100143,2025-02,2023-07-14,216652,76.43,6.3,Current,TX,801,Cash-Out Refinance,30.85,No,No
100144,2025-02,2020-03-29,649494,82.75,4.86,Current,GA,821,Refinance,32.41,No,No
100145,2025-02,2023-02-18,986531,57.06,7.93,Current,CA,529,Refinance,17.92,No,No
100146,2025-02,2019-04-05,807430,87.15,3.2,Current,FL,573,Cash-Out Refinance,27.2,No,No
100147,2025-02,2017-02-16,483900,70.35,5.71,Current,GA,680,Purchase,28.3,No,No
100148,2025-02,2020-08-28,420277,95.88,3.08,Current,WA,799,Refinance,45.68,No,No
100149,2025-02,2015-01-05,112421,58.2,4.93,Current,FL,773,Purchase,23.21,No,No
100150,2025-02,2019-04-25,193833,56.43,3.94,Current,TX,710,Refinance,15.34,No,No
100151,2025-02,2016-09-21,120240,87.98,2.53,Current,NY,543,Purchase,13.85,No,No
100152,2025-02,2020-02-29,213146,88.0,7.85,Current,IL,650,Refinance,42.37,Yes,No
100153,2025-02,2015-02-03,245264,58.71,6.66,Current,NY,632,Refinance,37.12,No,No
100154,2025-02,2015-10-30,841284,89.36,7.34,Current,NY,775,Purchase,31.88,No,No
100155,2025-02,2020-05-19,146501,70.61,3.19,Current,WA,657,Refinance,17.53,No,No
100156,2025-02,2020-08-30,673691,90.32,5.07,Current,CA,534,Cash-Out Refinance,21.2,No,No
100157,2025-02,2017-12-04,826689,78.26,2.56,Current,NY,577,Cash-Out Refinance,44.73,No,No
100158,2025-02,2016-04-03,217554,94.0,5.02,30 Days,NY,686,Cash-Out Refinance,15.53,Yes,No
100159,2025-02,2019-11-20,443893,50.35,4.13,Current,IL,551,Purchase,13.71,No,No
100160,2025-02,2019-01-07,729211,90.7,7.28,30 Days,CA,557,Purchase,32.56,No,No
100161,2025-02,2018-06-18,497936,59.72,7.77,Current,GA,838,Refinance,31.02,No,No
100162,2025-02,2019-08-22,511948,65.11,2.92,Current,TX,637,Cash-Out Refinance,12.65,No,No
100163,2025-02,2017-07-28,191861,68.91,5.48,Current,IL,661,Purchase,31.02,No,No
100164,2025-02,2016-12-11,533675,90.03,5.49,Current,CA,695,Purchase,27.72,No,No
100165,2025-02,2015-12-11,119282,59.63,3.6,Current,GA,807,Refinance,30.35,No,No
100166,2025-02,2019-08-03,963965,94.99,3.68,Current,GA,775,Refinance,23.5,No,No
100167,2025-02,2022-01-08,184528,66.13,4.92,Current,FL,712,Refinance,27.96,No,Yes
100168,2025-02,2021-12-03,568282,96.69,4.93,Current,GA,753,Cash-Out Refinance,26.98,No,No
100169,2025-02,2017-01-08,625483,61.43,5.05,Current,IL,552,Purchase,16.55,Yes,No
100170,2025-02,2022-02-10,772935,76.59,5.32,Current,FL,751,Purchase,31.26,No,No
100171,2025-02,2019-02-20,334568,79.63,3.95,Current,FL,687,Refinance,13.34,No,No
100172,2025-02,2022-10-06,943801,78.51,8.48,Current,TX,821,Cash-Out Refinance,36.44,No,No
100173,2025-02,2021-12-30,829671,85.3,4.03,Current,GA,685,Cash-Out Refinance,38.44,No,No
100174,2025-02,2019-03-16,134313,90.66,4.97,Current,GA,786,Purchase,21.63,No,No
100175,2025-02,2016-07-01,177940,60.61,6.36,Current,TX,847,Refinance,36.91,No,No
100176,2025-02,2020-11-27,362796,77.0,6.92,Current,WA,834,Cash-Out Refinance,15.39,No,No
100177,2025-02,2019-10-26,59889,82.16,3.99,Current,GA,846,Cash-Out Refinance,42.54,No,No
100178,2025-02,2020-02-05,792554,90.78,3.11,30 Days,CA,597,Refinance,23.84,No,No
100179,2025-02,2015-03-29,550138,54.72,7.68,Current,CA,736,Cash-Out Refinance,49.37,No,No
100180,2025-02,2022-06-10,687830,80.88,7.05,Current,FL,510,Refinance,42.75,No,No
100181,2025-02,2021-01-21,158691,58.45,4.72,Current,TX,767,Refinance,18.94,No,No
100182,2025-02,2021-09-12,490005,77.29,3.42,Current,FL,556,Cash-Out Refinance,47.47,No,No
100183,2025-02,2022-09-09,332749,90.14,5.54,Current,NY,739,Cash-Out Refinance,49.24,No,No
100184,2025-02,2023-09-29,503002,77.19,7.82,Current,NY,721,Cash-Out Refinance,45.01,No,No
100185,2025-02,2023-06-10,565206,92.11,4.26,Current,FL,788,Cash-Out Refinance,36.8,No,No
100186,2025-02,2022-04-16,242350,54.01,5.94,Current,TX,540,Refinance,19.42,No,No
100187,2025-02,2019-09-22,796511,72.52,6.51,Current,NY,607,Purchase,43.63,No,No
100188,2025-02,2022-01-18,745509,50.43,4.86,Current,IL,555,Cash-Out Refinance,28.14,No,No
100189,2025-02,2023-02-12,440813,58.38,5.94,30 Days,GA,532,Cash-Out Refinance,37.44,No,No
100190,2025-02,2018-11-10,303567,57.91,2.54,Current,CA,817,Refinance,24.93,No,No
100191,2025-02,2022-09-21,597993,71.76,2.89,Current,NY,619,Refinance,17.2,No,No
100192,2025-02,2015-10-01,934783,71.21,7.3,Current,GA,838,Cash-Out Refinance,39.2,No,No
100193,2025-02,2018-06-01,245682,91.21,6.33,60 Days,IL,811,Refinance,48.31,No,No
100194,2025-02,2017-01-05,242528,77.31,3.3,Current,NY,769,Cash-Out Refinance,42.31,No,No
100195,2025-02,2018-04-03,198141,79.05,6.6,Current,IL,601,Purchase,28.31,No,No
100196,2025-02,2016-08-05,684979,85.8,3.59,Current,WA,555,Cash-Out Refinance,45.97,No,No
100197,2025-02,2020-08-25,690053,97.35,8.24,Current,IL,619,Purchase,23.09,No,No
100198,2025-02,2022-02-06,410243,90.53,3.8,Current,CA,642,Purchase,21.03,No,No
100199,2025-02,2016-12-14,606648,59.55,7.89,Current,TX,741,Purchase,25.89,No,No
100200,2025-02,2023-07-19,277866,88.75,8.16,Current,TX,719,Purchase,32.35,No,No
100201,2025-02,2017-03-24,992976,63.46,5.18,Current,CA,801,Purchase,15.55,No,No
100202,2025-02,2018-12-27,577137,77.87,6.48,Current,FL,758,Refinance,49.91,No,No
100203,2025-02,2021-07-12,700377,61.87,3.42,Current,IL,667,Purchase,30.76,No,No
100204,2025-02,2016-05-19,730572,68.64,6.87,Current,GA,705,Refinance,47.6,No,No
100205,2025-02,2019-08-11,195257,71.71,6.14,Current,TX,594,Refinance,40.18,No,No
100206,2025-02,2018-09-03,304172,73.8,3.95,Current,TX,822,Refinance,49.37,No,No
100207,2025-02,2020-05-07,422201,60.54,3.35,Current,NY,645,Cash-Out Refinance,44.18,No,No
100208,2025-02,2020-02-15,503516,73.56,3.96,Current,IL,819,Refinance,16.21,No,No
100209,2025-02,2019-12-09,816991,98.5,5.48,30 Days,IL,802,Refinance,45.15,No,No
100210,2025-02,2022-03-26,812455,68.04,7.24,Current,CA,699,Refinance,43.95,No,No
100211,2025-02,2017-10-08,410680,90.83,8.32,30 Days,CA,565,Refinance,14.79,No,No
100212,2025-02,2020-07-24,637781,89.0,6.24,Current,CA,671,Cash-Out Refinance,40.94,No,No
100213,2025-02,2017-10-29,728473,81.37,6.01,Current,TX,836,Refinance,45.0,No,No
100214,2025-02,2016-09-15,357137,77.93,7.97,30 Days,CA,799,Purchase,32.89,No,No
100215,2025-02,2016-05-15,708627,71.62,6.87,Current,IL,822,Cash-Out Refinance,25.41,No,No
100216,2025-02,2023-12-14,331718,51.46,7.0,Current,TX,825,Cash-Out Refinance,36.75,No,No
100217,2025-02,2017-04-20,615068,81.48,5.38,Current,GA,836,Cash-Out Refinance,20.5,No,No
100218,2025-02,2022-06-12,85374,96.86,3.9,Current,WA,726,Purchase,40.27,No,No
100219,2025-02,2016-05-10,369975,84.02,4.79,Current,TX,739,Purchase,39.54,No,No
100220,2025-02,2023-07-04,437852,75.57,7.96,Current,FL,683,Cash-Out Refinance,41.1,No,No
100221,2025-02,2019-10-03,669727,71.34,2.98,Current,WA,732,Cash-Out Refinance,15.44,No,No
100222,2025-02,2016-04-05,989180,76.51,6.58,Current,CA,814,Refinance,40.0,No,No
100223,2025-02,2020-09-29,881540,54.0,8.46,Current,WA,747,Refinance,28.73,No,No
100224,2025-02,2015-04-13,587624,57.28,7.24,30 Days,GA,601,Purchase,40.83,No,No
100225,2025-02,2021-01-23,783982,59.09,2.54,30 Days,IL,718,Purchase,29.67,No,No
100226,2025-02,2017-08-10,226668,94.13,8.38,Current,WA,778,Purchase,34.89,No,No
100227,2025-02,2015-02-05,966685,60.18,7.68,Current,NY,561,Purchase,29.91,No,Yes
100228,2025-02,2019-03-30,792240,56.19,5.59,Current,TX,580,Refinance,23.06,No,No
100229,2025-02,2016-08-04,815309,66.73,7.63,30 Days,GA,743,Cash-Out Refinance,49.97,No,No
100230,2025-02,2015-09-26,223888,81.71,6.31,Current,WA,554,Purchase,48.75,No,No
100231,2025-02,2015-04-22,408093,96.26,7.38,Current,NY,566,Refinance,27.06,No,No
100232,2025-02,2022-04-25,84251,73.81,6.33,30 Days,GA,780,Refinance,18.4,Yes,No
100233,2025-02,2023-02-18,856093,69.2,6.18,Current,WA,593,Refinance,36.94,No,No
100234,2025-02,2023-12-05,962202,50.26,7.43,30 Days,TX,653,Purchase,40.04,No,No
100235,2025-02,2017-11-05,832307,92.14,3.37,60 Days,TX,697,Refinance,32.04,No,No
100236,2025-02,2022-10-23,618796,67.25,5.24,Current,GA,500,Cash-Out Refinance,28.5,No,No
100237,2025-02,2021-07-18,187124,82.88,4.22,Current,NY,567,Refinance,26.69,No,No
100238,2025-02,2016-09-12,978525,88.89,2.64,Current,CA,762,Refinance,23.22,No,No
100239,2025-02,2022-09-07,556562,91.84,3.89,Current,GA,544,Purchase,49.41,No,No
100240,2025-02,2021-07-23,499409,57.02,5.87,Current,FL,596,Refinance,32.97,No,No
100241,2025-02,2018-02-07,390702,87.97,5.22,Current,WA,671,Purchase,32.86,No,No
100242,2025-02,2020-01-28,331368,70.76,2.75,Current,GA,752,Cash-Out Refinance,36.61,Yes,No
100243,2025-02,2018-08-22,582665,75.08,7.92,Current,WA,627,Purchase,19.95,No,No
100244,2025-02,2019-04-19,784577,63.7,3.59,Current,IL,636,Cash-Out Refinance,24.74,No,No
100245,2025-02,2016-05-29,449333,96.21,6.19,Current,TX,699,Purchase,12.75,No,No
100246,2025-02,2023-05-07,442469,92.44,5.61,Current,WA,542,Refinance,49.78,No,No
100247,2025-02,2021-01-07,491571,91.68,7.42,Current,NY,809,Refinance,39.64,No,No
100248,2025-02,2019-06-14,111503,60.87,3.63,Current,NY,663,Refinance,43.82,No,No
100249,2025-02,2022-11-15,805695,68.56,4.34,30 Days,CA,636,Cash-Out Refinance,37.43,No,No
100250,2025-02,2021-03-26,59556,86.23,6.64,Current,TX,531,Purchase,35.37,No,No
100251,2025-02,2018-08-20,899898,70.51,2.56,Current,FL,795,Cash-Out Refinance,23.05,No,No
100252,2025-02,2020-05-17,982829,74.16,6.91,Current,GA,626,Purchase,37.54,No,No
100253,2025-02,2016-09-13,952133,94.61,3.61,Current,CA,617,Refinance,24.46,No,No
100254,2025-02,2020-03-21,720120,89.26,7.92,Current,IL,740,Purchase,18.2,No,No
100255,2025-02,2018-07-03,392861,66.47,8.02,60 Days,WA,834,Cash-Out Refinance,32.07,No,No
100256,2025-02,2023-09-09,702182,59.27,5.31,Current,TX,725,Refinance,42.11,No,No
100257,2025-02,2020-09-27,356207,50.24,6.43,Current,CA,782,Cash-Out Refinance,12.27,No,No
100258,2025-02,2023-07-27,853388,84.92,7.25,Current,FL,845,Refinance,10.05,No,No
100259,2025-02,2017-05-17,676836,61.49,4.86,Current,FL,696,Cash-Out Refinance,17.22,No,No
100260,2025-02,2017-01-11,781315,94.96,5.26,Current,NY,625,Purchase,31.88,No,No
100261,2025-02,2015-09-21,275189,59.49,6.89,Current,FL,724,Purchase,48.79,No,No
100262,2025-02,2016-03-16,963984,58.65,3.24,Current,TX,526,Refinance,42.5,No,No
100263,2025-02,2022-10-26,141917,69.17,3.03,Current,GA,810,Purchase,42.41,No,No
100264,2025-02,2018-08-27,553511,59.62,3.89,Current,NY,600,Cash-Out Refinance,38.22,No,No
100265,2025-02,2017-11-17,992709,69.63,3.32,Current,FL,796,Purchase,21.19,No,No
100266,2025-02,2020-10-18,850112,63.21,7.83,Current,TX,665,Refinance,44.13,No,No
100267,2025-02,2015-10-25,187652,93.54,2.56,Current,IL,731,Refinance,29.6,No,No
100268,2025-02,2022-02-21,876370,78.27,6.17,Current,FL,626,Cash-Out Refinance,24.92,No,No
100269,2025-02,2018-06-06,790991,80.93,8.35,Current,NY,668,Purchase,16.09,No,No
100270,2025-02,2021-12-21,153047,54.49,6.5,Current,FL,538,Cash-Out Refinance,25.03,No,No
100271,2025-02,2022-07-10,383775,97.82,2.8,Current,IL,793,Cash-Out Refinance,12.38,No,No
100272,2025-02,2016-04-16,905325,71.49,7.78,Current,NY,780,Refinance,40.46,No,No
100273,2025-02,2020-07-18,663300,72.9,6.16,Current,IL,513,Cash-Out Refinance,32.48,Yes,No
100274,2025-02,2017-01-25,277465,64.33,2.65,Current,TX,697,Purchase,22.79,No,No
100275,2025-02,2020-04-09,663484,81.09,4.68,30 Days,FL,581,Cash-Out Refinance,30.16,No,No
100276,2025-02,2016-08-14,719837,52.56,3.51,30 Days,TX,592,Refinance,11.25,No,No
100277,2025-02,2023-02-24,639495,90.07,7.02,Current,TX,618,Cash-Out Refinance,38.67,No,No
