Account Number,Reporting Period,Loan Type,Origination Date,Loan Amount,Credit Limit,Outstanding Balance,LTV Ratio,DTI Ratio,Interest Rate,Delinquency Status,Credit Score,Property State,Loan Purpose,Loan Modification,Charge-Off Status,Origination Channel,Loan Term (Months),ARM Fixed Term (Years),Servicer Name,Securitization Status
400052,2025-02,Home Equity Loan,2016-11-12,667450,292692,29504,65.98,38.03,9.7,Current,822,NY,Home Improvement,Yes,No,Correspondent,360,7,Non-Bank D,No
400053,2025-02,First Lien Mortgage,2022-10-26,865429,454366,173649,72.81,20.13,7.05,30 Days,608,NY,Home Improvement,No,No,Direct,240,10,Bank B,No
400054,2025-02,Home Equity Loan,2023-12-28,542685,88575,7603,83.06,52.46,4.44,Current,720,GA,Refinance,No,No,Correspondent,360,3,Non-Bank D,Yes
400055,2025-02,First Lien Mortgage,2022-02-06,210590,248922,343714,62.38,49.82,4.85,Current,538,GA,Purchase,No,No,Correspondent,180,7,Bank C,No
400056,2025-02,First Lien Mortgage,2016-10-12,286568,307240,385772,70.29,24.81,6.25,30 Days,782,TX,Purchase,No,No,Direct,240,7,Bank B,Yes
400057,2025-02,First Lien Mortgage,2023-11-11,486187,315799,123621,91.06,34.5,8.56,Current,762,CA,Purchase,No,No,Direct,240,5,Bank B,Yes
400058,2025-02,First Lien Mortgage,2022-03-08,325394,427204,296461,87.69,34.27,8.39,Current,535,CA,Purchase,No,No,Broker,180,3,Bank B,No
400059,2025-02,First Lien Mortgage,2021-02-10,589360,395583,347579,71.85,36.66,4.79,Current,699,FL,Refinance,No,No,Direct,240,3,Bank A,Yes
400060,2025-02,Home Equity Loan,2022-03-27,728046,235735,279802,69.18,27.89,7.41,30 Days,842,NY,Purchase,No,No,Broker,240,5,Non-Bank D,Yes
400061,2025-02,Home Equity Loan,2021-02-23,839068,218253,30272,79.09,50.29,3.94,Current,669,GA,Cash-Out Refinance,No,No,Retail,360,3,Bank C,No
400062,2025-02,Home Equity Loan,2015-05-21,508657,302248,288972,85.14,55.79,3.86,Current,651,GA,Purchase,No,No,Retail,360,5,Bank B,No
400063,2025-02,Home Equity Loan,2020-03-16,484922,74489,103536,44.51,28.0,3.4,90+ Days,740,NY,Purchase,No,No,Broker,180,3,Non-Bank D,Yes
400064,2025-02,First Lien Mortgage,2022-05-17,335859,393421,93170,74.59,21.74,3.54,Current,564,TX,Home Improvement,No,No,Correspondent,240,7,Bank C,No
400065,2025-02,Home Equity Loan,2016-09-12,281568,45615,263751,55.14,14.68,4.61,Current,727,FL,Purchase,No,No,Retail,240,5,Bank C,No
400066,2025-02,Home Equity Loan,2023-04-18,344198,168787,240572,88.33,50.57,2.56,Current,632,WA,Cash-Out Refinance,Yes,No,Broker,180,7,Bank A,No
400067,2025-02,Home Equity Loan,2017-04-08,705436,124466,220464,67.24,36.49,4.1,Current,772,NY,Refinance,No,No,Broker,360,3,Non-Bank D,No
400068,2025-02,Home Equity Loan,2023-05-04,758558,391027,147729,93.23,25.42,4.95,Current,583,CA,Home Improvement,No,No,Broker,180,10,Bank B,Yes
400069,2025-02,First Lien Mortgage,2016-04-06,796390,260108,137339,53.72,30.9,6.94,Current,736,WA,Refinance,No,No,Direct,180,7,Non-Bank D,Yes
400070,2025-02,First Lien Mortgage,2019-07-27,415084,381312,202243,70.37,26.11,3.68,30 Days,687,GA,Cash-Out Refinance,No,No,Direct,240,7,Bank C,Yes
400071,2025-02,First Lien Mortgage,2021-09-22,193550,360559,144782,40.91,13.88,9.06,30 Days,564,TX,Cash-Out Refinance,No,No,Retail,180,5,Bank B,No
400072,2025-02,Home Equity Loan,2020-08-08,912367,224127,276695,58.66,15.58,2.97,Current,652,CA,Refinance,No,No,Direct,240,3,Bank A,No
400073,2025-02,Home Equity Loan,2015-03-21,876610,455468,408472,75.9,39.15,4.76,Current,716,WA,Refinance,No,No,Retail,180,5,Bank B,No
400074,2025-02,First Lien Mortgage,2021-01-30,622335,57872,89143,41.07,22.55,5.3,Current,702,GA,Refinance,No,No,Retail,180,7,Bank C,No
400075,2025-02,Home Equity Loan,2022-04-21,540671,137159,233783,94.65,37.38,7.92,Current,579,NY,Refinance,No,No,Retail,180,10,Bank A,Yes
400076,2025-02,Home Equity Loan,2015-02-16,676780,298607,43065,59.84,37.96,3.38,Current,828,NY,Home Improvement,No,No,Broker,240,5,Bank C,Yes
400077,2025-02,Home Equity Loan,2016-04-29,465716,137227,448264,56.91,35.49,4.73,Current,513,WA,Cash-Out Refinance,No,No,Correspondent,180,10,Bank A,No
400078,2025-02,First Lien Mortgage,2022-09-15,828104,238598,42967,49.44,45.76,5.02,30 Days,733,IL,Purchase,No,No,Retail,240,7,Bank A,Yes
400079,2025-02,Home Equity Loan,2019-02-19,206840,351829,443887,68.48,53.66,6.65,Current,613,NY,Purchase,No,No,Correspondent,240,3,Bank C,Yes
400080,2025-02,First Lien Mortgage,2023-01-01,903668,39795,20103,57.72,43.2,4.35,Current,615,WA,Refinance,No,No,Broker,180,5,Bank B,No
400081,2025-02,First Lien Mortgage,2020-09-11,711002,242770,419237,40.06,59.2,8.14,30 Days,541,WA,Refinance,No,No,Broker,240,7,Bank A,No
400082,2025-02,Home Equity Loan,2015-08-11,365156,369256,402913,56.46,25.27,4.64,Current,815,IL,Refinance,No,No,Broker,360,10,Bank A,Yes
400083,2025-02,First Lien Mortgage,2019-04-22,187864,220718,193037,51.89,16.01,6.94,Current,624,GA,Cash-Out Refinance,No,No,Broker,360,10,Bank A,No
400084,2025-02,First Lien Mortgage,2019-04-17,939521,224051,187665,42.22,54.44,7.83,Current,820,GA,Cash-Out Refinance,No,No,Direct,240,5,Bank B,No
400085,2025-02,First Lien Mortgage,2021-11-24,118937,71413,171798,82.29,28.14,9.13,90+ Days,786,WA,Cash-Out Refinance,No,No,Direct,360,7,Bank B,Yes
400086,2025-02,Home Equity Loan,2019-10-12,698415,99829,219987,73.31,30.75,3.73,Current,747,GA,Cash-Out Refinance,No,No,Broker,180,5,Non-Bank D,No
400087,2025-02,Home Equity Loan,2017-11-09,220397,215863,321095,48.61,29.29,2.7,90+ Days,560,CA,Purchase,No,No,Retail,360,3,Non-Bank D,No
400088,2025-02,First Lien Mortgage,2023-05-22,228940,243558,151155,65.5,40.78,6.44,Current,675,NY,Home Improvement,No,No,Broker,240,5,Non-Bank D,Yes
400089,2025-02,First Lien Mortgage,2015-04-30,904039,34908,42592,47.57,42.43,4.07,Current,822,TX,Purchase,No,No,Direct,180,5,Bank A,No
400090,2025-02,Home Equity Loan,2017-01-21,103579,288598,209312,46.79,21.17,6.81,Current,545,TX,Refinance,No,No,Correspondent,180,3,Non-Bank D,No
400091,2025-02,Home Equity Loan,2019-06-28,369265,258307,394789,48.5,52.01,9.51,Current,660,TX,Purchase,No,No,Retail,180,7,Bank C,Yes
400092,2025-02,First Lien Mortgage,2023-05-12,257662,183940,180372,59.58,24.19,3.09,Current,827,WA,Purchase,No,No,Retail,360,3,Non-Bank D,No
400093,2025-02,First Lien Mortgage,2018-03-26,830942,434187,431433,84.8,10.26,8.33,Current,668,FL,Home Improvement,No,No,Direct,360,7,Bank B,No
400094,2025-02,First Lien Mortgage,2021-01-31,723374,192840,144306,56.39,41.44,5.52,Current,509,TX,Purchase,No,No,Broker,240,5,Non-Bank D,No
400095,2025-02,First Lien Mortgage,2017-08-10,113029,136270,35087,57.77,57.89,9.15,30 Days,825,GA,Refinance,No,No,Retail,240,7,Bank C,Yes
400096,2025-02,Home Equity Loan,2022-01-22,459155,154874,106555,92.91,21.15,6.87,Current,731,TX,Home Improvement,No,No,Correspondent,360,7,Bank A,No
400097,2025-02,Home Equity Loan,2019-10-26,750215,363739,137701,70.79,56.95,6.87,Current,572,IL,Cash-Out Refinance,No,No,Direct,180,7,Bank C,No
400098,2025-02,Home Equity Loan,2016-08-07,587860,159744,269004,59.58,23.14,4.98,Current,679,CA,Home Improvement,No,No,Retail,240,5,Non-Bank D,Yes
400099,2025-02,First Lien Mortgage,2021-10-28,170276,39079,349224,84.77,42.9,5.2,Current,770,WA,Cash-Out Refinance,No,No,Broker,360,7,Bank A,No
400100,2025-02,Home Equity Loan,2016-05-28,875396,268977,317372,90.43,56.01,8.97,Current,613,GA,Purchase,No,No,Direct,360,5,Bank A,No
400101,2025-02,First Lien Mortgage,2022-01-11,462201,23261,324049,45.24,14.46,9.78,Current,806,TX,Cash-Out Refinance,No,No,Retail,240,7,Bank C,No
400102,2025-02,First Lien Mortgage,2017-08-22,960697,491183,217914,45.78,25.96,5.13,Current,614,NY,Purchase,No,No,Broker,240,7,Bank A,Yes
400103,2025-02,First Lien Mortgage,2018-11-14,94380,286052,107931,84.15,16.29,4.19,Current,714,GA,Refinance,No,No,Correspondent,360,7,Bank C,No
400104,2025-02,Home Equity Loan,2020-11-17,66704,463842,61025,91.23,10.67,6.17,Current,583,TX,Cash-Out Refinance,No,No,Broker,240,7,Non-Bank D,Yes
400105,2025-02,First Lien Mortgage,2021-07-16,522603,277153,59985,98.21,17.17,3.88,Current,505,NY,Home Improvement,No,Yes,Direct,240,3,Bank C,Yes
400106,2025-02,First Lien Mortgage,2021-10-05,721258,169309,294236,49.95,19.3,6.12,Current,748,NY,Home Improvement,No,No,Broker,360,10,Bank B,Yes
400107,2025-02,Home Equity Loan,2018-05-03,348931,54816,84783,95.67,14.06,5.05,60 Days,676,FL,Home Improvement,No,No,Retail,360,7,Bank B,Yes
400108,2025-02,First Lien Mortgage,2019-07-17,333297,77706,329806,53.56,57.16,8.4,Current,600,FL,Purchase,No,No,Broker,360,10,Bank C,No
400109,2025-02,Home Equity Loan,2015-03-03,814397,76593,137040,54.56,38.07,8.18,Current,785,NY,Purchase,No,No,Correspondent,180,7,Bank A,Yes
400110,2025-02,First Lien Mortgage,2022-09-09,474090,445194,92504,99.9,35.07,9.14,Current,728,CA,Refinance,No,No,Retail,240,3,Non-Bank D,No
400111,2025-02,First Lien Mortgage,2018-01-13,189355,445318,279880,81.82,11.46,6.83,Current,636,FL,Purchase,No,No,Direct,180,10,Bank C,Yes
400112,2025-02,Home Equity Loan,2022-03-16,81199,32899,189787,96.61,48.92,9.01,Current,633,GA,Home Improvement,No,No,Direct,360,10,Non-Bank D,Yes
400113,2025-02,First Lien Mortgage,2018-01-27,774897,423692,294369,40.55,41.03,7.53,Current,761,GA,Purchase,No,No,Direct,360,3,Bank C,No
400114,2025-02,First Lien Mortgage,2023-09-22,442251,222524,235122,60.83,40.38,2.54,90+ Days,623,GA,Refinance,Yes,No,Direct,240,7,Bank A,No
400115,2025-02,First Lien Mortgage,2021-11-21,910602,212590,429523,63.75,59.71,9.74,Current,508,TX,Cash-Out Refinance,No,No,Broker,360,10,Non-Bank D,No
400116,2025-02,Home Equity Loan,2016-04-05,623797,453349,175027,43.6,27.55,8.66,Current,792,CA,Refinance,No,No,Direct,360,3,Bank A,Yes
400117,2025-02,First Lien Mortgage,2017-09-22,655330,434880,40281,71.76,53.83,8.66,Current,618,CA,Cash-Out Refinance,No,No,Direct,180,7,Non-Bank D,Yes
400118,2025-02,Home Equity Loan,2023-10-09,963945,386778,90692,41.0,22.67,6.16,Current,806,FL,Home Improvement,No,No,Broker,360,7,Bank A,No
400119,2025-02,Home Equity Loan,2017-11-25,349195,351683,290345,60.52,19.94,9.62,Current,719,CA,Purchase,No,No,Broker,360,5,Non-Bank D,Yes
400120,2025-02,First Lien Mortgage,2021-01-17,555397,247721,327183,60.51,36.74,8.13,Current,649,NY,Cash-Out Refinance,No,No,Retail,180,10,Bank B,No
400121,2025-02,Home Equity Loan,2015-12-05,357236,220780,334339,63.56,56.5,9.48,Current,825,FL,Cash-Out Refinance,No,No,Direct,240,5,Bank C,No
400122,2025-02,First Lien Mortgage,2016-10-13,207606,447315,238117,62.21,36.3,4.99,Current,572,CA,Refinance,No,No,Retail,360,7,Bank A,No
400123,2025-02,Home Equity Loan,2019-03-26,58739,358042,133781,57.12,11.99,9.42,Current,551,TX,Refinance,No,No,Broker,240,7,Bank C,No
400124,2025-02,First Lien Mortgage,2017-11-01,640975,472054,165942,97.93,46.91,9.15,Current,743,IL,Home Improvement,No,No,Correspondent,360,7,Bank C,No
400125,2025-02,First Lien Mortgage,2018-04-18,644565,470464,368291,73.97,13.51,9.67,Current,632,CA,Home Improvement,No,Yes,Correspondent,180,10,Bank B,Yes
400126,2025-02,Home Equity Loan,2015-12-28,84596,477726,298872,64.73,33.66,9.01,Current,666,TX,Refinance,No,No,Correspondent,240,7,Bank A,Yes
400127,2025-02,Home Equity Loan,2020-07-01,814361,103615,269390,93.59,32.99,2.77,Current,504,NY,Purchase,No,No,Broker,240,5,Bank B,Yes
400128,2025-02,First Lien Mortgage,2022-08-24,91013,99156,332046,82.53,56.19,7.04,Current,509,TX,Cash-Out Refinance,No,No,Direct,180,3,Bank A,Yes
400129,2025-02,First Lien Mortgage,2015-03-21,26555,55136,223497,44.75,33.65,5.51,Current,510,WA,Cash-Out Refinance,No,No,Correspondent,360,7,Non-Bank D,No
400130,2025-02,Home Equity Loan,2023-11-07,965790,304882,125755,62.81,39.05,7.33,Current,639,CA,Cash-Out Refinance,No,No,Direct,360,7,Bank C,No
400131,2025-02,Home Equity Loan,2022-05-24,569107,96801,253630,48.58,37.66,6.3,Current,827,TX,Refinance,No,No,Correspondent,180,3,Bank A,No
400132,2025-02,First Lien Mortgage,2020-02-04,211414,33246,360178,51.5,10.4,4.59,30 Days,676,GA,Refinance,No,No,Broker,360,7,Bank B,No
400133,2025-02,Home Equity Loan,2021-04-30,614838,322781,87577,59.57,39.22,9.42,Current,754,CA,Purchase,No,No,Broker,240,10,Bank A,No
400134,2025-02,First Lien Mortgage,2023-12-14,472711,294723,184661,57.62,58.72,8.61,Current,786,IL,Refinance,No,No,Direct,360,7,Non-Bank D,No
400135,2025-02,First Lien Mortgage,2018-12-22,230342,147090,252902,54.06,13.65,7.15,Current,562,IL,Refinance,No,No,Direct,360,7,Bank C,No
400136,2025-02,First Lien Mortgage,2022-09-11,697285,161318,427608,60.59,26.92,4.27,Current,565,GA,Refinance,No,No,Direct,240,3,Non-Bank D,Yes
400137,2025-02,Home Equity Loan,2018-03-26,916692,280909,111571,97.17,54.67,9.06,Current,661,WA,Cash-Out Refinance,No,No,Correspondent,360,7,Bank C,No
400138,2025-02,Home Equity Loan,2021-10-21,875325,32108,115375,41.2,29.68,3.72,Current,699,CA,Purchase,No,No,Correspondent,240,10,Non-Bank D,No
400139,2025-02,First Lien Mortgage,2021-03-15,648618,81722,92738,79.69,59.31,3.3,Current,610,WA,Refinance,No,No,Correspondent,360,5,Non-Bank D,Yes
400140,2025-02,First Lien Mortgage,2020-07-01,214845,478908,335157,92.16,48.08,7.42,Current,630,TX,Refinance,No,No,Broker,240,10,Bank A,No
400141,2025-02,First Lien Mortgage,2020-05-24,865949,374264,397253,87.99,23.81,8.66,30 Days,609,CA,Cash-Out Refinance,No,No,Direct,360,7,Bank C,No
400142,2025-02,First Lien Mortgage,2015-10-26,978130,218284,194045,93.54,21.84,7.42,Current,628,NY,Purchase,No,No,Broker,180,5,Bank A,Yes
400143,2025-02,First Lien Mortgage,2016-06-02,545022,325051,448891,54.03,42.12,9.5,Current,687,WA,Cash-Out Refinance,No,No,Correspondent,360,5,Non-Bank D,No
400144,2025-02,First Lien Mortgage,2019-06-22,67572,402318,269823,79.29,21.01,3.95,Current,670,FL,Cash-Out Refinance,No,No,Retail,180,3,Non-Bank D,Yes
400145,2025-02,First Lien Mortgage,2016-03-17,138823,262565,411467,88.22,54.85,9.17,Current,677,GA,Refinance,No,No,Correspondent,240,3,Non-Bank D,Yes
400146,2025-02,First Lien Mortgage,2015-01-07,916988,112679,418417,49.86,26.04,7.67,Current,763,CA,Purchase,No,No,Direct,240,3,Non-Bank D,No
400147,2025-02,Home Equity Loan,2020-10-04,437900,193824,60086,42.53,28.65,2.52,Current,812,IL,Purchase,No,No,Correspondent,240,7,Bank B,Yes
400148,2025-02,First Lien Mortgage,2023-04-27,239057,405486,295324,88.94,20.43,8.33,Current,663,IL,Cash-Out Refinance,No,No,Retail,240,5,Bank C,Yes
400149,2025-02,Home Equity Loan,2016-07-05,588985,169640,10384,68.75,21.43,7.28,Current,608,IL,Home Improvement,No,No,Broker,180,3,Bank B,Yes
400150,2025-02,First Lien Mortgage,2021-10-06,780351,55876,308056,53.12,53.55,7.12,Current,581,FL,Home Improvement,No,Yes,Broker,180,7,Bank B,No
400151,2025-02,Home Equity Loan,2016-12-03,309756,82810,367132,67.69,45.99,3.79,Current,536,FL,Home Improvement,No,No,Retail,240,5,Bank B,No
400152,2025-02,First Lien Mortgage,2021-06-15,312772,493645,275106,42.28,36.51,4.94,90+ Days,763,GA,Home Improvement,No,No,Broker,240,10,Bank C,Yes
400153,2025-02,First Lien Mortgage,2018-10-27,225282,349105,347754,57.34,54.21,8.48,Current,506,IL,Cash-Out Refinance,No,No,Retail,360,10,Non-Bank D,Yes
400154,2025-02,First Lien Mortgage,2016-09-21,750852,398760,227949,91.04,48.62,7.48,Current,600,GA,Home Improvement,No,No,Correspondent,360,3,Bank B,Yes
400155,2025-02,Home Equity Loan,2019-01-09,980200,267755,194796,68.15,56.0,6.11,60 Days,684,FL,Home Improvement,No,No,Correspondent,180,10,Bank C,Yes
400156,2025-02,First Lien Mortgage,2017-03-21,383671,122331,423489,79.13,55.9,7.19,Current,788,TX,Cash-Out Refinance,No,No,Correspondent,360,3,Bank A,No
400157,2025-02,First Lien Mortgage,2021-04-11,262980,334251,154749,90.45,58.75,2.7,Current,723,WA,Refinance,No,No,Broker,240,10,Non-Bank D,No
400158,2025-02,First Lien Mortgage,2018-10-03,189978,115837,323821,98.8,14.17,4.88,Current,524,TX,Purchase,No,No,Correspondent,240,5,Non-Bank D,Yes
400159,2025-02,Home Equity Loan,2023-03-23,818144,77301,111068,46.55,53.39,9.74,Current,735,TX,Refinance,No,No,Retail,180,5,Bank B,No
400160,2025-02,First Lien Mortgage,2015-11-19,585215,91453,54891,47.36,28.21,9.72,Current,615,FL,Home Improvement,No,No,Retail,180,3,Bank B,No
400161,2025-02,Home Equity Loan,2023-11-16,759342,32715,386709,95.96,53.08,6.4,Current,574,GA,Cash-Out Refinance,No,No,Correspondent,180,10,Bank C,Yes
400162,2025-02,First Lien Mortgage,2016-09-08,782806,407954,121789,56.47,57.69,8.91,30 Days,713,IL,Home Improvement,No,No,Correspondent,180,3,Bank B,No
400163,2025-02,First Lien Mortgage,2018-06-06,908707,460421,114405,75.45,47.66,9.09,Current,785,IL,Refinance,No,No,Correspondent,240,3,Non-Bank D,No
400164,2025-02,Home Equity Loan,2015-07-22,170291,126026,388415,55.81,24.26,7.25,Current,573,IL,Home Improvement,No,No,Direct,360,5,Bank A,No
400165,2025-02,Home Equity Loan,2017-06-05,811269,51090,72397,49.63,59.78,6.83,Current,781,NY,Home Improvement,No,No,Retail,360,5,Non-Bank D,No
