Account Number,Reporting Period,Credit Limit,Outstanding Balance,Interest Rate,Minimum Payment Due,Payment Status,Delinquency Status,Credit Score,Utilization Ratio,Charge-Off Status
300059,2025-02,27526,30752,24.65,493,Paid in Full,Current,775,46.61,No
300060,2025-02,18103,20301,24.99,614,Missed Payment,Current,600,22.97,No
300061,2025-02,38714,5658,11.22,735,Paid in Full,Current,674,27.79,No
300062,2025-02,41569,23197,11.83,841,Partial Payment,Current,596,69.26,No
300063,2025-02,23397,42930,22.58,983,Partial Payment,Current,837,77.38,No
300064,2025-02,33244,25446,24.45,628,Paid in Full,Current,574,76.17,No
300065,2025-02,49222,21779,24.78,854,Paid in Full,30 Days,564,58.63,No
300066,2025-02,18741,33035,24.31,831,Paid in Full,Current,532,73.7,No
300067,2025-02,21143,5663,21.18,928,Missed Payment,Current,580,73.35,No
300068,2025-02,6397,35331,10.91,895,Partial Payment,Current,506,33.71,No
300069,2025-02,7242,13500,22.41,179,Partial Payment,Current,526,88.75,No
300070,2025-02,11475,34996,15.97,117,Paid in Full,Current,551,50.2,No
300071,2025-02,34060,3486,24.67,694,Paid in Full,Current,787,5.14,No
300072,2025-02,13271,4196,15.37,638,Partial Payment,Current,549,31.0,No
300073,2025-02,30733,36281,17.29,717,Paid in Full,Current,610,61.7,No
300074,2025-02,38038,24700,10.99,700,Partial Payment,Current,678,9.48,No
300075,2025-02,3996,4812,17.85,430,Paid in Full,Current,709,39.89,No
300076,2025-02,13864,14961,13.21,401,Partial Payment,Current,724,74.57,No
300077,2025-02,28276,33976,21.19,612,Paid in Full,Current,635,50.58,Yes
300078,2025-02,17936,27739,21.51,706,Partial Payment,Current,580,63.76,No
300079,2025-02,16277,16393,17.52,833,Partial Payment,Current,730,31.07,No
300080,2025-02,44395,9150,15.07,377,Paid in Full,Current,569,82.78,No
300081,2025-02,34239,22979,14.53,138,Paid in Full,Current,546,19.15,No
300082,2025-02,15681,35876,19.94,698,Missed Payment,Current,576,31.47,No
300083,2025-02,42104,10141,16.5,936,Paid in Full,Current,629,72.42,No
300084,2025-02,2500,31452,10.14,70,Paid in Full,Current,717,22.27,No
300085,2025-02,26604,18843,22.25,621,Missed Payment,Current,596,34.4,No
300086,2025-02,1163,12582,13.49,230,Missed Payment,90+ Days,611,23.51,No
300087,2025-02,16632,44585,16.03,258,Missed Payment,30 Days,770,52.05,Yes
300088,2025-02,29919,33855,18.7,293,Paid in Full,Current,790,34.75,No
300089,2025-02,25559,9983,13.99,652,Paid in Full,Current,682,92.99,No
300090,2025-02,40479,18459,19.96,285,Paid in Full,30 Days,722,24.15,No
300091,2025-02,46784,20210,23.25,452,Paid in Full,Current,521,76.08,No
300092,2025-02,13842,21532,14.36,213,Partial Payment,60 Days,781,58.41,No
300093,2025-02,9889,12138,20.67,314,Partial Payment,Current,668,88.26,No
300094,2025-02,12760,27798,23.09,208,Paid in Full,Current,614,71.0,No
300095,2025-02,10962,15290,16.74,542,Missed Payment,Current,713,91.0,No
300096,2025-02,22096,4578,23.52,825,Partial Payment,Current,632,77.96,No
300097,2025-02,46423,20980,16.74,723,Paid in Full,Current,516,46.97,No
300098,2025-02,8718,11432,20.95,298,Paid in Full,Current,504,37.47,No
300099,2025-02,5918,14616,14.09,469,Paid in Full,Current,606,75.51,No
300100,2025-02,20943,16253,20.66,724,Paid in Full,Current,632,42.21,No
300101,2025-02,8248,14753,21.32,905,Paid in Full,Current,630,82.07,No
300102,2025-02,15539,9296,18.25,105,Paid in Full,Current,557,39.19,No
300103,2025-02,19135,21776,13.88,311,Missed Payment,Current,723,77.96,No
300104,2025-02,38104,16496,21.15,890,Paid in Full,Current,575,29.77,No
300105,2025-02,8869,17352,13.91,394,Paid in Full,Current,840,42.52,No
300106,2025-02,16993,4987,10.44,388,Partial Payment,Current,798,21.72,No
300107,2025-02,2368,25695,22.88,849,Partial Payment,Current,634,76.88,No
300108,2025-02,5085,16537,12.41,536,Paid in Full,Current,654,90.14,No
300109,2025-02,14333,826,13.01,624,Missed Payment,Current,638,49.74,No
300110,2025-02,43207,26613,11.34,853,Paid in Full,30 Days,799,84.92,No
300111,2025-02,25274,38659,17.25,975,Paid in Full,Current,563,56.56,No
300112,2025-02,10586,10011,19.24,528,Paid in Full,Current,775,41.68,No
300113,2025-02,35210,24457,10.17,648,Paid in Full,Current,561,12.19,Yes
300114,2025-02,41522,14840,22.33,379,Paid in Full,Current,713,63.69,No
300115,2025-02,27264,14412,24.88,494,Paid in Full,Current,596,47.27,No
300116,2025-02,23181,31201,11.19,699,Paid in Full,Current,761,88.66,No
300117,2025-02,23948,8017,21.43,192,Paid in Full,Current,653,87.46,No
300118,2025-02,25691,26856,19.14,883,Paid in Full,Current,814,6.93,No
300119,2025-02,7740,7635,12.46,955,Paid in Full,Current,752,86.86,No
300120,2025-02,4075,39785,23.67,820,Partial Payment,Current,518,64.11,No
300121,2025-02,9184,20499,23.17,361,Paid in Full,Current,776,26.52,No
300122,2025-02,22103,7756,15.1,798,Paid in Full,Current,512,9.18,No
300123,2025-02,47744,20839,17.97,833,Paid in Full,Current,597,64.78,No
300124,2025-02,5295,14596,23.72,677,Paid in Full,Current,768,18.53,No
300125,2025-02,28245,20205,16.11,110,Partial Payment,Current,829,85.86,No
300126,2025-02,29231,17484,21.12,188,Partial Payment,Current,800,79.14,No
300127,2025-02,17762,24489,11.53,288,Missed Payment,Current,781,50.16,No
300128,2025-02,40333,35397,24.78,664,Paid in Full,Current,649,61.12,No
300129,2025-02,46693,35179,14.79,110,Paid in Full,60 Days,654,29.85,No
300130,2025-02,28974,16528,23.19,867,Partial Payment,Current,696,49.28,No
300131,2025-02,3777,32487,12.39,271,Partial Payment,Current,650,41.39,No
300132,2025-02,41416,29744,13.41,962,Paid in Full,Current,596,60.08,No
300133,2025-02,20336,26746,17.62,992,Partial Payment,Current,793,10.83,No
300134,2025-02,7853,8181,10.27,123,Paid in Full,Current,597,18.81,No
300135,2025-02,43267,19316,18.51,459,Paid in Full,Current,623,80.98,No
300136,2025-02,18589,28110,12.85,242,Partial Payment,Current,727,91.96,No
300137,2025-02,20652,30891,24.28,950,Paid in Full,Current,565,50.0,No
300138,2025-02,27022,13926,11.83,550,Paid in Full,Current,600,65.25,No
300139,2025-02,11939,44848,11.57,181,Missed Payment,Current,570,35.11,No
300140,2025-02,33474,19884,23.75,466,Missed Payment,Current,513,46.95,No
300141,2025-02,25199,1652,14.17,931,Paid in Full,90+ Days,759,11.65,Yes
300142,2025-02,36367,17863,21.5,386,Paid in Full,Current,607,35.37,No
300143,2025-02,13090,31593,13.0,389,Paid in Full,Current,612,77.22,No
300144,2025-02,45672,36509,16.22,98,Paid in Full,Current,675,6.2,No
300145,2025-02,34635,28631,12.53,362,Paid in Full,Current,536,8.11,No
300146,2025-02,26988,28025,24.91,652,Missed Payment,Current,705,25.16,No
300147,2025-02,11079,41285,19.56,902,Partial Payment,Current,713,16.34,No
300148,2025-02,45310,19190,21.05,932,Partial Payment,Current,604,37.68,No
300149,2025-02,26010,35205,23.41,557,Paid in Full,Current,773,71.51,No
300150,2025-02,2793,2428,18.67,848,Paid in Full,Current,587,21.57,No
300151,2025-02,1557,31367,23.41,637,Paid in Full,Current,824,90.99,No
300152,2025-02,1310,42941,16.46,271,Paid in Full,Current,806,86.72,No
300153,2025-02,39455,29852,23.45,967,Missed Payment,Current,824,87.63,No
300154,2025-02,22295,11364,16.74,958,Missed Payment,Current,748,54.07,No
300155,2025-02,7444,13288,15.56,230,Paid in Full,30 Days,808,29.3,No
300156,2025-02,38566,16663,19.59,190,Paid in Full,Current,670,57.12,No
300157,2025-02,47024,20751,24.6,238,Paid in Full,Current,740,82.09,No
300158,2025-02,24443,42455,19.24,141,Paid in Full,Current,778,79.14,No
300159,2025-02,18712,35503,14.65,527,Paid in Full,Current,833,71.8,No
300160,2025-02,45255,38397,19.17,785,Paid in Full,Current,725,91.68,No
300161,2025-02,11680,40391,20.44,702,Paid in Full,Current,606,28.71,No
300162,2025-02,44111,32342,14.42,141,Paid in Full,Current,597,6.72,No
300163,2025-02,9336,5225,24.08,204,Partial Payment,Current,758,31.69,No
300164,2025-02,11845,36242,19.21,870,Missed Payment,Current,777,36.89,No
300165,2025-02,23466,16946,12.71,992,Paid in Full,Current,610,22.43,No
300166,2025-02,11140,15375,16.05,967,Partial Payment,30 Days,526,38.37,No
300167,2025-02,38343,31054,13.87,283,Partial Payment,Current,741,60.27,No
300168,2025-02,9201,14793,21.79,608,Paid in Full,Current,517,37.09,No
300169,2025-02,9376,41480,18.46,680,Paid in Full,Current,581,18.51,No
300170,2025-02,48341,15900,13.08,753,Paid in Full,Current,713,71.95,No
300171,2025-02,31174,1314,10.93,703,Paid in Full,Current,540,66.78,No
300172,2025-02,47392,44672,23.33,911,Paid in Full,Current,687,65.83,No
300173,2025-02,21428,33948,20.9,961,Paid in Full,Current,646,45.7,No
300174,2025-02,40050,27347,10.21,292,Paid in Full,Current,592,51.87,No
300175,2025-02,42141,24682,23.36,238,Paid in Full,Current,818,30.54,No
300176,2025-02,19768,29618,24.86,114,Paid in Full,Current,566,86.97,No
300177,2025-02,8595,39446,19.89,710,Paid in Full,Current,755,59.06,No
300178,2025-02,42931,27794,15.4,917,Paid in Full,Current,500,46.88,No
300179,2025-02,27777,14989,19.09,852,Paid in Full,Current,762,69.04,Yes
300180,2025-02,9678,26901,19.34,670,Paid in Full,Current,695,44.94,No
300181,2025-02,11174,25800,24.72,986,Paid in Full,30 Days,523,38.97,No
300182,2025-02,14306,24498,22.77,997,Paid in Full,Current,563,94.49,No
300183,2025-02,39907,2875,15.83,590,Partial Payment,Current,781,38.16,No
300184,2025-02,1089,27704,11.92,821,Paid in Full,Current,822,91.61,No
300185,2025-02,5848,38454,13.82,227,Partial Payment,Current,718,76.17,No
300186,2025-02,11872,32828,14.28,147,Paid in Full,Current,827,39.16,No
300187,2025-02,43866,16434,15.93,552,Paid in Full,Current,805,63.15,No
300188,2025-02,43546,16754,12.12,507,Paid in Full,Current,679,77.42,No
300189,2025-02,31486,13737,18.66,327,Paid in Full,Current,847,39.12,No
300190,2025-02,48108,1771,12.6,925,Paid in Full,Current,660,52.78,No
300191,2025-02,46050,9302,15.97,918,Paid in Full,Current,548,38.37,No
300192,2025-02,33840,36022,18.04,779,Partial Payment,Current,831,93.28,No
300193,2025-02,37915,13504,13.98,941,Paid in Full,Current,600,37.46,No
300194,2025-02,29381,10828,11.09,998,Paid in Full,Current,730,17.37,Yes
300195,2025-02,7775,25411,18.17,362,Paid in Full,Current,824,21.92,No
300196,2025-02,5402,32509,14.43,380,Paid in Full,Current,515,44.48,No
300197,2025-02,15171,28454,14.14,125,Paid in Full,Current,823,75.09,No
300198,2025-02,6853,2009,22.94,301,Missed Payment,Current,655,26.63,No
300199,2025-02,9256,35396,15.75,657,Partial Payment,Current,523,57.19,No
300200,2025-02,37720,31256,12.51,505,Paid in Full,Current,681,36.2,No
300201,2025-02,19623,10811,12.46,485,Partial Payment,Current,579,6.54,No
300202,2025-02,34971,20807,10.02,701,Missed Payment,Current,730,72.52,Yes
300203,2025-02,46200,16312,18.57,928,Paid in Full,Current,542,24.32,No
300204,2025-02,46609,28782,15.67,205,Paid in Full,30 Days,541,90.95,No
300205,2025-02,25310,24826,18.16,972,Paid in Full,Current,619,21.1,No
300206,2025-02,4233,7891,18.21,318,Paid in Full,Current,715,20.55,No
300207,2025-02,34418,19796,23.65,243,Partial Payment,Current,734,47.15,No
300208,2025-02,25660,20163,18.43,988,Partial Payment,Current,688,62.46,No
300209,2025-02,33153,2156,18.23,426,Missed Payment,Current,569,38.31,No
300210,2025-02,14211,37849,20.75,173,Paid in Full,Current,569,51.34,No
300211,2025-02,14474,26781,20.1,761,Paid in Full,Current,555,10.7,No
300212,2025-02,38460,20479,16.73,686,Paid in Full,Current,596,12.35,No
300213,2025-02,37760,41420,24.03,301,Paid in Full,30 Days,577,91.69,No
300214,2025-02,1895,20980,14.4,637,Paid in Full,Current,830,61.35,No
300215,2025-02,15087,14351,21.59,664,Paid in Full,Current,669,72.37,No
300216,2025-02,34278,22977,17.91,814,Paid in Full,Current,665,42.59,No
300217,2025-02,21512,22019,19.13,512,Paid in Full,Current,709,54.95,No
300218,2025-02,27188,5027,13.96,701,Paid in Full,Current,541,25.33,No
300219,2025-02,40597,25685,22.51,320,Paid in Full,Current,761,10.44,No
300220,2025-02,41298,23037,20.98,882,Partial Payment,Current,735,32.0,No
300221,2025-02,36133,38542,19.71,395,Paid in Full,Current,675,17.93,Yes
300222,2025-02,21020,37306,11.82,120,Partial Payment,Current,670,32.96,No
300223,2025-02,21917,25577,23.65,767,Partial Payment,Current,517,25.57,No
300224,2025-02,38866,15974,15.2,136,Paid in Full,Current,756,47.15,No
300225,2025-02,20754,25073,24.33,782,Paid in Full,Current,571,42.98,No
300226,2025-02,15285,2473,13.81,298,Paid in Full,Current,581,86.33,No
300227,2025-02,44098,38904,22.7,475,Paid in Full,Current,631,71.27,Yes
300228,2025-02,38403,10104,12.79,471,Missed Payment,Current,705,10.49,No
300229,2025-02,25953,36524,14.3,708,Paid in Full,Current,713,12.07,No
300230,2025-02,13615,44401,24.91,505,Paid in Full,Current,724,58.22,No
300231,2025-02,42305,16971,24.38,548,Missed Payment,Current,601,88.43,No
300232,2025-02,42757,5714,17.67,130,Paid in Full,Current,820,57.41,No
300233,2025-02,26421,37161,16.31,378,Paid in Full,Current,767,7.84,No
300234,2025-02,22863,12700,23.72,233,Paid in Full,Current,814,11.67,No
300235,2025-02,45538,19529,10.64,443,Paid in Full,Current,583,71.42,No
300236,2025-02,42823,7314,24.63,949,Paid in Full,Current,733,88.16,No
300237,2025-02,27633,14140,14.19,994,Paid in Full,Current,744,11.76,No
300238,2025-02,7922,885,21.66,70,Paid in Full,Current,703,41.88,No
300239,2025-02,38587,5366,12.55,803,Paid in Full,Current,635,90.82,No
300240,2025-02,17656,10241,22.8,868,Missed Payment,Current,640,19.09,No
300241,2025-02,17520,1749,14.25,963,Paid in Full,Current,633,65.71,No
300242,2025-02,21461,9634,20.04,765,Partial Payment,Current,640,27.69,No
300243,2025-02,38198,31860,22.21,98,Paid in Full,90+ Days,832,28.25,No
300244,2025-02,18341,5845,19.92,737,Paid in Full,Current,637,92.93,No
300245,2025-02,11895,17622,20.68,227,Paid in Full,Current,643,73.44,No
300246,2025-02,34570,12979,17.88,729,Paid in Full,Current,716,25.42,No
300247,2025-02,21488,42911,12.12,355,Paid in Full,Current,566,63.88,No
300248,2025-02,23240,32289,12.99,537,Paid in Full,Current,837,17.05,No
300249,2025-02,2681,40735,14.51,543,Paid in Full,Current,610,84.17,No
300250,2025-02,13098,8620,18.24,561,Missed Payment,Current,655,32.11,No
300251,2025-02,15682,33433,10.82,399,Partial Payment,Current,528,48.03,No
300252,2025-02,2857,18276,13.15,304,Paid in Full,Current,530,93.74,No
300253,2025-02,18549,40683,14.02,293,Paid in Full,Current,747,36.09,No
300254,2025-02,47924,22677,18.93,545,Paid in Full,Current,643,91.88,No
300255,2025-02,45842,30671,12.83,378,Partial Payment,Current,699,51.76,No
300256,2025-02,26011,42896,18.13,543,Partial Payment,Current,573,50.79,No
300257,2025-02,8005,37384,21.03,737,Partial Payment,Current,590,71.85,No
300258,2025-02,40800,34502,20.38,148,Paid in Full,Current,571,27.38,No
300259,2025-02,14626,42336,24.03,212,Paid in Full,Current,578,90.84,No
300260,2025-02,4909,6796,18.14,337,Paid in Full,Current,564,45.56,No
300261,2025-02,22554,27183,10.3,900,Paid in Full,Current,728,38.81,No
300262,2025-02,48247,8894,12.01,109,Paid in Full,Current,502,12.67,No
300263,2025-02,17262,10133,16.21,679,Partial Payment,Current,630,90.61,No
300264,2025-02,40315,28786,20.11,889,Paid in Full,Current,680,15.48,No
300265,2025-02,15040,7448,12.41,233,Paid in Full,90+ Days,605,25.01,No
300266,2025-02,3677,4474,21.31,578,Paid in Full,Current,774,82.8,No
300267,2025-02,20581,36331,17.98,963,Partial Payment,Current,668,76.26,No
300268,2025-02,14963,29821,18.38,284,Paid in Full,Current,832,68.98,No
300269,2025-02,49767,29967,16.31,981,Partial Payment,Current,624,20.75,No
300270,2025-02,35016,35825,20.22,106,Missed Payment,30 Days,669,77.58,No
300271,2025-02,19708,12712,12.16,885,Partial Payment,30 Days,622,19.46,No
300272,2025-02,27916,36205,23.78,800,Partial Payment,Current,644,40.03,No
300273,2025-02,23292,1922,22.28,996,Paid in Full,Current,513,13.27,No
300274,2025-02,21401,31431,16.72,867,Paid in Full,Current,550,24.16,No
300275,2025-02,29029,37893,22.17,831,Partial Payment,Current,684,79.3,No
300276,2025-02,18798,13443,16.32,630,Paid in Full,Current,702,87.35,No
300277,2025-02,12679,22599,19.22,660,Paid in Full,Current,710,46.84,Yes
300278,2025-02,35846,23988,14.84,896,Missed Payment,Current,845,7.42,No
300279,2025-02,3159,14536,18.5,131,Partial Payment,Current,523,68.66,No
300280,2025-02,39365,43170,16.22,331,Paid in Full,60 Days,518,5.9,No
300281,2025-02,38198,7494,20.38,504,Paid in Full,Current,837,80.73,No
300282,2025-02,43209,35988,11.08,249,Paid in Full,Current,779,83.64,No
300283,2025-02,22339,41868,18.95,819,Partial Payment,Current,545,70.71,No
300284,2025-02,25806,18479,20.4,173,Paid in Full,Current,609,56.07,No
300285,2025-02,30774,44674,12.16,237,Partial Payment,30 Days,640,61.48,No
300286,2025-02,39264,9499,16.17,847,Paid in Full,Current,629,11.13,No
300287,2025-02,2445,25321,16.67,287,Paid in Full,Current,807,67.2,No
300288,2025-02,10490,7389,10.49,736,Paid in Full,Current,500,84.14,No
300289,2025-02,34170,1697,12.94,380,Paid in Full,30 Days,665,68.82,No
300290,2025-02,36235,38588,23.21,704,Paid in Full,60 Days,614,37.54,No
300291,2025-02,13184,12401,17.56,856,Paid in Full,Current,723,76.3,No
300292,2025-02,26076,5066,19.26,926,Partial Payment,Current,647,53.28,No
300293,2025-02,1366,12867,17.5,794,Paid in Full,Current,691,54.11,No
300294,2025-02,29808,3824,12.42,255,Paid in Full,Current,602,48.67,No
300295,2025-02,3746,689,13.52,885,Missed Payment,Current,575,94.17,No
300296,2025-02,26155,40985,19.94,346,Paid in Full,Current,611,75.1,No
300297,2025-02,6905,40051,21.96,307,Paid in Full,Current,592,6.26,No
300298,2025-02,29529,20759,21.5,762,Paid in Full,Current,780,30.79,No
300299,2025-02,26102,11922,11.62,718,Paid in Full,Current,678,7.23,No
300300,2025-02,14051,44092,22.86,752,Partial Payment,Current,566,63.75,No
300301,2025-02,38145,34509,10.33,349,Partial Payment,Current,787,59.18,No
300302,2025-02,44476,31884,24.34,854,Partial Payment,Current,707,32.47,No
300303,2025-02,7497,25419,16.47,648,Paid in Full,Current,821,81.02,No
300304,2025-02,24932,30174,11.46,137,Paid in Full,Current,529,26.67,No
300305,2025-02,37662,27365,21.85,674,Partial Payment,Current,629,90.17,No
300306,2025-02,36963,39654,21.05,272,Paid in Full,Current,826,30.65,No
300307,2025-02,20490,20212,20.3,160,Paid in Full,Current,784,48.58,Yes
300308,2025-02,11189,20709,22.11,288,Partial Payment,Current,707,17.36,No
300309,2025-02,20839,902,10.86,267,Paid in Full,90+ Days,747,76.87,No
300310,2025-02,2855,8820,17.49,590,Paid in Full,Current,711,83.18,Yes
300311,2025-02,5740,34685,24.04,421,Paid in Full,Current,739,47.45,No
300312,2025-02,26497,5238,15.46,788,Partial Payment,Current,731,33.19,No
300313,2025-02,37756,24728,11.42,504,Partial Payment,Current,578,36.6,No
300314,2025-02,49834,10584,17.77,793,Paid in Full,Current,532,19.87,No
300315,2025-02,16468,6558,17.55,438,Paid in Full,Current,519,66.94,No
300316,2025-02,40925,22132,22.44,884,Paid in Full,Current,755,94.25,No
300317,2025-02,21353,22204,22.98,379,Partial Payment,Current,543,70.71,No
300318,2025-02,44282,18464,12.41,264,Paid in Full,Current,797,76.41,No
300319,2025-02,18283,14049,16.61,101,Paid in Full,90+ Days,733,70.62,No
300320,2025-02,9700,35015,15.78,989,Paid in Full,Current,670,71.36,No
300321,2025-02,6376,11114,20.95,154,Paid in Full,Current,672,69.98,No
300322,2025-02,6747,42432,15.91,686,Paid in Full,Current,837,55.76,No
300323,2025-02,33475,34193,24.09,65,Paid in Full,Current,789,36.39,No
300324,2025-02,29411,38586,13.19,431,Paid in Full,Current,702,90.54,No
300325,2025-02,25776,2665,15.45,531,Paid in Full,Current,828,90.17,No
300326,2025-02,31846,23191,22.5,806,Partial Payment,Current,715,45.86,No
300327,2025-02,39201,43977,11.77,378,Paid in Full,Current,535,9.24,No
300328,2025-02,37770,17965,14.12,271,Paid in Full,Current,796,92.7,No
300329,2025-02,21226,3757,18.39,754,Partial Payment,Current,548,5.82,No
300330,2025-02,25459,14086,15.17,392,Missed Payment,Current,764,12.28,No
300331,2025-02,43446,24569,23.65,383,Paid in Full,Current,598,91.27,No
300332,2025-02,14396,7495,24.32,229,Paid in Full,Current,781,73.67,No
300333,2025-02,33845,29078,10.75,620,Partial Payment,Current,505,49.73,No
300334,2025-02,9669,41892,15.99,927,Paid in Full,30 Days,531,69.89,No
300335,2025-02,35713,42812,12.32,271,Partial Payment,Current,739,94.44,No
300336,2025-02,36406,13920,15.05,148,Missed Payment,Current,846,74.83,No
300337,2025-02,48763,18948,13.68,325,Missed Payment,Current,831,84.65,No
300338,2025-02,32411,19523,22.4,351,Paid in Full,Current,602,26.53,No
300339,2025-02,6934,21937,24.0,75,Partial Payment,Current,795,72.57,No
300340,2025-02,23077,27946,24.77,397,Paid in Full,Current,504,68.57,No
300341,2025-02,9927,11730,21.55,450,Paid in Full,Current,670,63.35,No
300342,2025-02,29018,11079,12.49,975,Paid in Full,Current,627,92.08,Yes
300343,2025-02,29404,9758,18.57,62,Paid in Full,Current,695,85.05,No
300344,2025-02,11971,17709,12.73,372,Paid in Full,Current,830,27.68,No
300345,2025-02,13366,27618,19.15,159,Paid in Full,30 Days,631,7.23,No
300346,2025-02,49334,15141,14.36,405,Paid in Full,Current,838,26.35,No
300347,2025-02,19815,25168,24.83,397,Paid in Full,Current,506,18.78,No
300348,2025-02,12133,908,15.69,260,Paid in Full,Current,678,40.54,No
300349,2025-02,25202,33241,22.77,163,Paid in Full,Current,688,41.43,No
300350,2025-02,39969,5101,14.92,867,Paid in Full,Current,505,21.25,No
300351,2025-02,1603,4895,21.52,639,Paid in Full,Current,691,7.1,No
300352,2025-02,48377,4052,10.39,370,Paid in Full,30 Days,626,40.12,No
300353,2025-02,17641,37787,22.73,771,Paid in Full,Current,586,14.97,No
300354,2025-02,32319,9815,14.27,50,Paid in Full,Current,513,32.44,No
300355,2025-02,15832,43117,20.85,631,Paid in Full,Current,522,80.2,No
300356,2025-02,12822,37374,15.42,543,Missed Payment,Current,786,57.19,No
300357,2025-02,21502,34165,19.29,675,Paid in Full,Current,500,66.64,No
300358,2025-02,47853,4524,14.44,92,Missed Payment,Current,540,14.4,No
300359,2025-02,41560,26638,13.62,949,Paid in Full,Current,627,63.5,No
300360,2025-02,43384,27923,24.27,495,Paid in Full,Current,811,7.45,No
